Example protocol
Configuration C,V
Send second 45
Time delay beween P : 5sec

// SET CLOCK
R:V#SH12#10639#1970-01-01 00:00:10# E:V#10639#1711953353 
R:D#SH12#12645#  E:D#12645#20240401073605 
R:P#SH12#194202#82,15680#  E:S#194202 
R:P#SH12#199200#82,16544#  E:S#199200 
R:P#SH12#204199#82,17216#  E:S#204199 


// OFFLINE
R:P#SH12#624274#130,18872#  E:S#624274 

//RESEND DATA FROM FILES
R:N#SH12#624895#2024-04-01 07:39:46#17,18352#  E:N#624895#2024-04-01 07:39:46 
R:N#SH12#624901#2024-04-01 07:40:46#5,18352#  E:N#624901#2024-04-01 07:40:46 
R:N#SH12#624916#2024-04-01 07:41:46#0,19528#  E:N#624916#2024-04-01 07:41:46 
R:N#SH12#624932#2024-04-01 07:42:46#10,19528#  E:N#624932#2024-04-01 07:42:46 


R:P#SH12#629275#130,18368#  E:S#629275 
R:P#SH12#634273#130,18368#  E:S#634273 
R:N#SH12#634897#2024-04-01 07:43:46#8,19528#  E:N#634897#2024-04-01 07:43:46 
R:N#SH12#634903#2024-04-01 07:44:46#7,19528#  E:N#634903#2024-04-01 07:44:46 
R:P#SH12#639274#137,18368#  E:S#639274 
R:P#SH12#644273#137,18368#  E:S#644273 
R:P#SH12#649274#137,18368#  E:S#649274 
R:P#SH12#654274#137,18368#  E:S#654274 
R:M#SH12#654758#2024-04-01 07:46:46#7,18296#137,18296#  E:M#654758#2024-04-01 07:46:46 
R:N#SH12#654766#2024-04-01 07:45:46#11,19528#  E:N#654766#2024-04-01 07:45:46 
R:P#SH12#659275#137,18256#  E:S#659275 
R:P#SH12#664274#143,16928#  E:S#664274 
R:P#SH12#669275#146,16544#  E:S#669275 
R:V#SH12#673861#2024-04-01 07:47:05# E:V#673861#1 
R:P#SH12#674274#146,17016#  E:S#674274 
R:P#SH12#679277#146,15872#  E:S#679277 
R:P#SH12#684275#146,15872#  E:S#684275 
R:P#SH12#689275#146,16544#  E:S#689275 
R:P#SH12#694274#146,17216#  E:S#694274 
R:P#SH12#699274#146,17216#  E:S#699274 
R:P#SH12#704275#146,17144#  E:S#704275 
R:P#SH12#709275#146,17216#  E:S#709275 
R:P#SH12#714276#146,15008#  E:S#714276 
R:M#SH12#714666#2024-04-01 07:47:46#9,15208#146,15208#  E:M#714666#2024-04-01 07:47:46 
R:P#SH12#719275#146,16544#  E:S#719275 
R:P#SH12#724275#146,17216#  E:S#724275 
R:P#SH12#729274#146,16240#  E:S#729274 
R:V#SH12#733861#2024-04-01 07:48:05# E:V#733861#1 
R:P#SH12#734274#146,17016#  E:S#734274 
R:P#SH12#739274#146,16320#  E:S#739274 
R:P#SH12#744277#146,15648#  E:S#744277 
R:P#SH12#749275#146,17216#  E:S#749275 
R:P#SH12#754275#146,16320#  E:S#754275 
R:P#SH12#759275#146,17216#  E:S#759275 
R:P#SH12#764274#146,17144#  E:S#764274 
R:P#SH12#769274#146,16544#  E:S#769274 
R:P#SH12#774275#146,15680#  E:S#774275 
R:M#SH12#774668#2024-04-01 07:48:46#0,15208#146,15208#  E:M#774668#2024-04-01 07:48:46 
R:P#SH12#779274#146,17216#  E:S#779274 
R:P#SH12#784275#146,17216#  E:S#784275 
R:P#SH12#789274#146,17216#  E:S#789274 
R:V#SH12#793863#2024-04-01 07:49:05# E:V#793863#1 
R:P#SH12#794273#146,17136#  E:S#794273 
R:P#SH12#799275#146,17216#  E:S#799275 
R:P#SH12#804275#146,16432#  E:S#804275 
R:P#SH12#809275#146,15680#  E:S#809275 
R:P#SH12#814275#146,17024#  E:S#814275 
R:P#SH12#819273#146,17216#  E:S#819273 
